1800,0.06
1810,0.07
1820,0.08
1830,0.09
1840,0.1
1850,0.11
1860,0.13
1870,0.15
1880,0.16
1890,0.21
1900,0.26
1910,0.33
1920,0.4
1930,0.48
1940,0.57
1950,0.69
1960,0.85
1970,1
1980,1.25
1990,1.4
2000,1.53
2010,1.63
2020,1.74
2030,1.86
2040,1.99
2050,2.1
2060,2.2
2070,2.26
2080,2.3
2090,2.33
2100,2.32
2110,2.3
2120,2.27
2130,2.21
2140,2.12
2150,2.07
2160,2.01
2170,1.97
2180,1.94
2190,1.9
2200,1.86
2210,1.83
2220,1.8
2230,1.76
2240,1.73
2250,1.69
2260,1.66
2270,1.63
2280,1.59
2290,1.56
2300,1.53
2310,1.51
2320,1.49
2330,1.47
2340,1.45
2350,1.43
2360,1.41
2370,1.39
2380,1.37
2390,1.36
2400,1.34
2410,1.32
2420,1.3
2430,1.29
2440,1.27
2450,1.26
2460,1.25
2470,1.23
2480,1.22
2490,1.21
2500,1.2
2510,1.19
2520,1.17
2530,1.16
2540,1.15
2550,1.14
2560,1.13
2570,1.12
2580,1.11
2590,1.1
2600,1.09
2610,1.08
2620,1.07
2630,1.05
2640,1.04
2650,1.03
2660,1.02
2670,1.01
2680,1.01
2690,1
2700,0.99
2710,0.98
2720,0.97
2730,0.97
2740,0.96
2750,0.95
2760,0.95
2770,0.94
2780,0.94
2790,0.93
2800,0.93
2810,0.92
2820,0.92
2830,0.92
2840,0.91
2850,0.91
2860,0.91
2870,0.9
2880,0.9
2890,0.9
2900,0.89
2910,0.89
2920,0.89
2930,0.89
2940,0.89
2950,0.89
2960,0.89
2970,0.89
2980,0.89
2990,0.89
3000,0.89
3010,0.89
3020,0.89
3030,0.89
3040,0.89
3050,0.89
3060,0.88
3070,0.88
3080,0.88
3090,0.88
3100,0.88
3110,0.88
3120,0.88
3130,0.88
3140,0.88
3150,0.88
3160,0.88
3170,0.88
3180,0.88
3190,0.88
3200,0.88
10000,0
